artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
der,computer,-,computer,technologie,,
der,fotoapparat,fotoapparate,camera,technologie,,
der,ipod,ipods,ipod,technologie,,
der,laptop,laptops,laptop,technologie,,
das,bild,bilder,picture,technologie,,
das,handy,handys,phone,technologie,,
das,internet,internets,internet,technologie,,
das,radio,radios,radio,technologie,,
das,telefon,telefone,telephone,technologie,,
das,video,videos,video,technologie,,
die,e-mail,e-mails,e-mail,technologie,,
die,fernsehsendung,fernsehsendungen,TV Show,technologie,,
die,sms,smss,sms,technologie,,
die,CD,CDs,CD,technologie,,
die,DVD,DVDs,DVD,technologie,,
der,drucker,-,printer,technologie,,
der,computer,-,computer,technologie,,
der,fotoapparat,fotoapparate,camera,technologie,,
der,ipod,ipods,ipod,technologie,,
der,laptop,laptops,laptop,technologie,,
das,bild,bilder,picture,technologie,,
das,handy,handys,phone,technologie,,
das,internet,internets,internet,technologie,,
das,radio,radios,radio,technologie,,
das,telefon,telefone,telephone,technologie,,
das,video,videos,video,technologie,,
die,e-mail,e-mails,e-mail,technologie,,
die,fernsehsendung,fernsehsendungen,TV Show,technologie,,
die,sms,smss,sms,technologie,,
die,CD,CDs,CD,technologie,,
die,DVD,DVDs,DVD,technologie,,
der,drucker,-,printer,technologie,,
der,computer,-,computer,technologie,,
der,fotoapparat,fotoapparate,camera,technologie,,
der,ipod,ipods,ipod,technologie,,
der,laptop,laptops,laptop,technologie,,
das,bild,bilder,picture,technologie,,
das,handy,handys,phone,technologie,,
das,internet,internets,internet,technologie,,
das,radio,radios,radio,technologie,,
das,telefon,telefone,telephone,technologie,,
das,video,videos,video,technologie,,
die,e-mail,e-mails,e-mail,technologie,,
die,fernsehsendung,fernsehsendungen,TV Show,technologie,,
die,sms,smss,sms,technologie,,
die,CD,CDs,CD,technologie,,
die,DVD,DVDs,DVD,technologie,,
der,drucker,-,printer,technologie,,
der,computer,-,computer,technologie,,
der,fotoapparat,fotoapparate,camera,technologie,,
der,ipod,ipods,ipod,technologie,,
der,laptop,laptops,laptop,technologie,,
das,bild,bilder,picture,technologie,,
das,handy,handys,phone,technologie,,
das,internet,internets,internet,technologie,,
das,radio,radios,radio,technologie,,
das,telefon,telefone,telephone,technologie,,
das,video,videos,video,technologie,,
die,e-mail,e-mails,e-mail,technologie,,
die,fernsehsendung,fernsehsendungen,TV Show,technologie,,
die,sms,smss,sms,technologie,,
die,CD,CDs,CD,technologie,,
die,DVD,DVDs,DVD,technologie,,
der,drucker,-,printer,technologie,,
